mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
1268952.0280145193,0,256158.7254325661,0,73501.34514166528,0,2116683094.0949106,576618225.993379,68.32975745687303,19027.292018814816,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
7317013.083068685,0,461406.7860789704,0,71896.24160207371,0,51344990.003452934,1302750591.6270475,112.6482975300355,239848087.62888804,0
446493.9759053346,0,80231.66464259167,0,25941.73380989594,0,684802624.1732837,1390355906.3471406,67.77026361413205,1204185.4140002972,0
73002668.42979985,0,28308862.041051682,0,1360962.539229494,0,734149740.0797529,6021599850.01502,97.67202242761698,1159666996.2890031,0
0,0,0,0,0,0,0,1438232237.318207,67.76999831199646,0,0
232783902.95211643,52777101.698793545,19948.256921335797,0,194700.53604384421,0,133934679.91365184,13548999662.52383,6707526.507805066,751.9437898239111,0
0,0,0,0,0,0,0,15053999625.03755,67.76999831199646,0,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
31325.58499753801,0,5729.005583830923,0,1835.7226109239434,0,82199600.00863767,24086999400.045135,72.21643486194726,1432616.5895075032,0
327367712.9012369,0,53262.96066500663,0,951582.4478012379,0,176935196.020965,1498549629.0769327,67.80163791874183,20767.00324997307,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
39723.1182350858,0,6444.050353937401,0,2146.8688280081324,0,73344890.64302091,9032499775.020039,1215.245792634165,18069975.93168354,0
29268.533384713013,0,5093.537476211042,0,1767.526522101254,0,82034782.49089175,22580999437.556324,3279229.631773582,120.59259471240183,0
0,0,0,0,0,0,0,9032499775.020039,67.76999831199646,0,0
0,0,0,0,0,0,0,1505397508.5180867,67.76999831199646,0,0
222307.94726988746,0,23086.383129754508,0,6610.129486584827,0,85173963.75867487,1505397893.562463,67.97561752593838,10262.385904587487,0
57842.2932765494,0,8835.35736292367,0,2879.412130235983,0,78355637.54048114,7527099812.516284,68.32577759014573,2143.346863860112,0
0,0,0,0,0,0,0,9032499775.020039,67.76999831199646,0,0
93464.51823111884,0,15669.54859845573,0,5986.712142412154,0,264048314.65803197,1505398732.9970996,81.35018669264655,449.0048019295981,0
3234237.4917502785,0,3975.281453948728,0,27268.85862368778,0,33086759.724027105,1505398974.0394747,71.39137117844784,5215.621221039051,0
190243.49043172708,0,31524.02804422309,0,10879.76575336738,0,272251349.23508364,1505399752.7847466,68.29898614082701,4943.794213525832,0
93815678.31680904,66045499.3947457,720.8235528654089,0,29959.04062470378,0,3165371.901141766,1505399962.5037165,954.6217247275507,30224.997611623727,0
226155.5996218637,0,22206.533252363388,0,6192.641594850364,0,49109424.63002985,1505399962.5037534,67.77020757981767,525297.2209426254,0
8977493.24137869,0,1410.2146896335385,0,12954.564812917268,0,7922713.688947212,1505399962.5037541,67.77417945739934,1915.4158644301206,0
56692.06107831874,0,10029.752316898104,0,3264.5251935607725,0,146235257.4085333,1505399962.5037541,68.09627323304561,92276.47028402149,0
88228.25182277926,0,15028.7376402819,0,5612.9109203990065,0,254015455.6003044,1505399962.5037544,402.89521981336367,7356472.029971241,0
0,0,0,0,0,0,0,1505399962.5037546,67.76999831199646,0,0
64073.402523397475,0,10098.809581258847,0,4029.3295615962197,0,167412234.6774194,1505399962.503755,68.80870339550715,1098.9420920679136,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
0,0,0,0,0,0,0,1505399962.503755,67.76999831199646,0,0
0,0,0,0,0,0,0,1505399962.5037553,67.76999831199646,0,0
751380.1762543275,0,0,0,0,0,0,1505400241.0540962,67.81380656804397,371.41502461522657,0
38511.78146910697,0,6127.590770805163,0,2355.720735329678,0,91022067.06389712,19569999512.553795,75.66797019591404,712.0456913153156,0
121804.65099027721,0,19240.5081582974,0,7018.262492740682,0,220295609.10185108,1505400354.6586673,1583.3340759236437,18633457.57559575,0
175160.04160138604,0,27656.471792017554,0,9197.635478002489,0,208281999.9211062,1505400448.726931,1357.479052743706,34759694.4860502,0
0,0,0,0,0,0,0,22580999437.556324,67.76999831199646,0,0
1804059.3484658264,8730207.462684292,0,0,0,0,0,1505400601.796819,175798.13908301108,163.35150863493723,0
59193.824111887676,0,11028.530474448196,0,3606.9959955186723,0,163353558.84364185,1522304342.9113898,67.81661398488154,26165.362408821235,0
0,0,0,0,0,0,0,4516199887.511265,67.76999831199646,0,0
78944.00998071585,0,13082.039160039381,0,3835.7429535491024,0,111198874.79817024,1561146737.7372408,67.77012242704625,199965.283622777,0
0,0,0,0,0,0,0,3010799925.00751,67.76999831199646,0,0
