mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzhothalo,mcolddisk,halomass,mbh,mhot
0,538064000000,0,0,191088000,313199000000,21091600000,2.155e+15,793463000,255554000000000
0,294243000000,0,29691500000,54228200,157100000000,4005210000,2.0391e+15,960502000,188988000000000
0,773450000000,0,0,342918000,301521000000,32260400000,1.7231e+15,1327090000,209582000000000
0,91244400000,0,0,30283600,58517000000,1737870000,1.597e+15,161485000,94296200000000
0,322167000000,0,0,62569100,227109000000,12801000000,1.4713e+15,1132890000,172762000000000
0,198115000000,0,0,160440000,148080000000,9575160000,1.468e+15,525389000,153607000000000
67182400000,186595000000,0,0,106064000,6186800000,6136430000,1.4212e+15,599979000,74779300000000
0,322762000000,0,0,203687000,189264000000,18413500000,1.3803e+15,633398000,166450000000000
206980000000,310617000000,0,0,354209000,206582000000,20777900000,1.3576e+15,812377000,177182000000000
0,60970200000,0,0,45625300,84538500000,10295100000,1.3524e+15,188505000,110471000000000
201375000000,199229000000,0,0,157794000,242277000000,22178500000,1.3497e+15,505736000,170295000000000
0,170558000000,0,0,37627200,141039000000,11233800000,1.3351e+15,385613000,138466000000000
0,505118000000,0,0,19877100,165354000000,3208270000,1.3305e+15,1152600000,157730000000000
0,320229000000,0,0,81956600,164505000000,7792760000,1.314e+15,715860000,156078000000000
0,80375300000,0,0,495399000,126900000000,79922500000,1.3075e+15,501054000,165925000000000
0,203908000000,0,0,31728600,143325000000,2523210000,1.2975e+15,480685000,141093000000000
26154300000,179091000000,0,0,76330100,156059000000,7893050000,1.2873e+15,681947000,140425000000000
144186000000,179304000000,0,0,80231200,74618200000,2499200000,1.2768e+15,370864000,85514400000000
0,286661000000,0,21838000000,49370100,166997000000,2797840000,1.2763e+15,571250000,132654000000000
0,181725000000,0,0,78228300,131451000000,15745500000,1.2605e+15,507531000,138652000000000
0,80722300000,0,0,98280200,57275300000,8841910000,1.2418e+15,278440000,84404600000000
0,442989000000,0,8753160000,126438000,199712000000,12177900000,1.2379e+15,901481000,158222000000000
330817000000,161919000000,0,0,245226000,142576000000,28899600000,1.236e+15,419898000,135951000000000
0,364666000000,0,0,107843000,132272000000,8268200000,1.2324e+15,592906000,133729000000000
0,516267000000,0,2218290000,297556000,89987100000,22292200000,1.2274e+15,1748660000,120829000000000
0,235473000000,0,0,93027600,91742700000,16585600000,1.2152e+15,1036810000,121407000000000
0,130431000000,0,0,33652400,117068000000,2991450000,1.2075e+15,364111000,126902000000000
599498000000,125126000000,0,0,521109000,105932000000,35680400000,1.1929e+15,336468000,110336000000000
69007700000,156908000000,0,0,118089000,152549000000,20293000000,1.1809e+15,546244000,140092000000000
0,253411000000,0,0,171856000,94952200000,29620600000,1.1766e+15,687000000,138957000000000
0,277692000000,0,0,29745600,135844000000,7894560000,1.1701e+15,1075760000,140934000000000
0,102679000000,0,0,113909000,47331900000,18367700000,1.1647e+15,187546000,91919600000000
0,220350000000,0,0,58081900,53970100000,1968860000,1.1503e+15,324528000,99056400000000
0,401792000000,0,0,85831000,127341000000,4540660000,1.1479e+15,745519000,131877000000000
0,475806000000,0,0,143070000,147676000000,12966000000,1.143e+15,790531000,133355000000000
0,359434000000,0,0,71488900,102375000000,19974000000,1.1383e+15,702756000,129331000000000
0,262479000000,0,0,78060600,144668000000,16330200000,1.1371e+15,398859000,131188000000000
172868000000,280537000000,0,0,220104000,135912000000,7883530000,1.1237e+15,554104000,119272000000000
0,317443000000,0,0,96844500,12945700000,10144400000,1.1006e+15,2527260000,19374700000000
0,558146000000,0,0,212238000,148727000000,72964200000,1.0855e+15,2708970000,136582000000000
0,115564000000,0,0,87164500,156737000000,19582600000,1.0809e+15,387390000,129184000000000
167296000000,160522000000,0,0,183572000,142551000000,17745600000,1.0781e+15,410054000,106506000000000
0,288165000000,0,0,14113800,144338000000,4449840000,1.0735e+15,735726000,133210000000000
0,367556000000,0,0,312951000,141115000000,19490000000,1.0706e+15,676160000,139738000000000
0,242533000000,0,0,18703100,123517000000,12161200000,1.0671e+15,674445000,136555000000000
0,306688000000,0,0,46694900,176140000000,7437190000,1.0576e+15,904411000,137672000000000
209339000000,211799000000,0,0,739811000,140074000000,47518700000,1.0526e+15,502893000,132061000000000
0,519834000000,0,0,220946000,183260000000,18500600000,1.0433e+15,1561130000,128615000000000
0,431831000000,0,0,242394000,137739000000,26805100000,1.024e+15,976097000,130177000000000
0,199437000000,0,0,17932800,90323500000,5366690000,1.014e+15,425359000,98838500000000
0,199315000000,0,0,162360000,153441000000,13753300000,1.0054e+15,459142000,119571000000000
0,469154000000,0,0,70341100,85843500000,7318500000,1.002e+15,1015160000,111862000000000
0,187991000000,0,8269650000,133922000,134307000000,5458550000,996040000000000,509782000,119753000000000
0,386131000000,0,0,57193000,139516000000,5608110000,988620000000000,527135000,100170000000000
0,421959000000,0,0,99813700,173297000000,3433960000,984850000000000,1013230000,126873000000000
0,573224000000,0,0,133034000,53730500000,7641300000,981960000000000,1094850000,54066300000000
92239400,370088000000,0,3575770000,166494000,163556000000,17215600000,981310000000000,475941000,115896000000000
0,129260000000,0,579965000,100259000,82708600000,8737610000,979080000000000,327071000,102332000000000
268271000000,416573000000,0,0,375838000,84944700000,23193600000,978580000000000,913816000,98240000000000
0,102207000000,0,0,9028150,25847500000,3179860000,968730000000000,234853000,54015600000000
0,465245000000,0,0,121652000,180579000000,9576260000,962570000000000,740715000,128933000000000
181479000000,286154000000,0,0,725313000,111925000000,23823400000,960530000000000,1188670000,118821000000000
0,424242000000,0,0,229217000,151110000000,23866900000,959710000000000,538358000,116914000000000
172221000000,163965000000,0,0,244234000,63178800000,5229170000,958510000000000,403864000,110417000000000
22486200000,172848000000,0,3114510000,151007000,75897600000,12081700000,958350000000000,481882000,92867600000000
0,272879000000,0,0,128815000,130935000000,13663600000,958200000000000,481022000,115493000000000
318348000000,345284000000,0,0,218273000,88399000000,13227300000,954450000000000,682502000,110764000000000
0,414103000000,0,0,17774800,106061000000,2095400000,951280000000000,878699000,100185000000000
0,243350000000,0,0,155347000,121433000000,11815700000,944970000000000,422651000,103208000000000
178187000000,267273000000,0,0,228815000,167795000000,27832600000,933770000000000,516689000,128152000000000
186505000000,381381000000,0,0,157925000,136351000000,16837400000,931330000000000,597459000,117026000000000
0,261239000000,0,0,99003500,76138400000,11283200000,927260000000000,379279000,109669000000000
90813300000,134656000000,0,2162700000,134717000,74874000000,19526300000,917850000000000,435164000,99075400000000
0,350334000000,0,0,109599000,96057000000,7736340000,916220000000000,507344000,89320300000000
0,308360000000,0,5936330000,55741600,143386000000,2246420000,914360000000000,824304000,108467000000000
