mstardisk mstarspheroid sfr sfrspheroid mzgasdisk mzgasspheroid mcolddisk halomass mbh mhot mcoldspheroid zgasdisk zgasspheroid test test1 test2 test3 test4 test5 test6 test7 test8 test9
0 4.03231E+12 63844500 0 180159000 28768100000 4126180000 2.16E+15 6.85511E+12 2.46617E+14 3.41825E+11 0.043662419 0.084160316 0 0 0 0 0 0 0 0 0 0
0 2.43462E+12 11539000000 10801400000 11101900 721397000 514885000 2.04E+15 4.45104E+11 1.61529E+14 21969200000 0.021561902 0.032836744 0 0 0 0 0 0 0 0 0 0
5478580000 4.32092E+12 10047700000 9933960000 132977 26904300000 21407200 1.72E+15 5.50686E+12 2.03385E+14 3.8088E+11 0.006211789 0.070637209 0 0 0 0 0 0 0 0 0 0
0 8.55204E+11 813093000 333318000 489244000 18859400 14622400000 1.60E+15 29263300000 1.03821E+14 1999440000 0.033458529 0.009432341 0 0 0 0 0 0 0 0 0 0
0 3.2439E+12 403795000 340736000 8859440 6861900000 329972000 1.47E+15 1.7059E+12 1.75767E+14 1.02728E+11 0.026849066 0.066796784 0 0 0 0 0 0 0 0 0 0
0 3.81788E+12 853930000 719848000 6003810 34031100000 339633000 1.47E+15 8.06395E+11 1.60856E+14 3.71429E+11 0.017677346 0.091622087 0 0 0 0 0 0 0 0 0 0
0 1.13523E+12 196026000 0 1399780000 5395940000 27481000000 1.42E+15 79493300000 7.61818E+13 42935600000 0.050936283 0.125675197 0 0 0 0 0 0 0 0 0 0
0 3.26304E+12 146368000 0 499135000 20922100000 13707400000 1.38E+15 1.57308E+12 1.66779E+14 2.61426E+11 0.036413543 0.080030678 0 0 0 0 0 0 0 0 0 0
1972390000 3.431E+12 27273100000 27041400000 1100620000 18057400000 33387500000 1.36E+15 1.2575E+12 1.74248E+14 2.42028E+11 0.032965032 0.074608723 0 0 0 0 0 0 0 0 0 0
0 9.12224E+11 4201320000 2778020000 72198500 74505400 2782830000 1.35E+15 45261600000 1.13256E+14 3164300000 0.025944273 0.023545618 0 0 0 0 0 0 0 0 0 0
15013300000 2.80367E+12 3046060000 0 371610000 23897300000 12987600000 1.35E+15 1.57145E+12 1.72488E+14 2.57354E+11 0.028612677 0.092857698 0 0 0 0 0 0 0 0 0 0
0 3.44424E+12 61096000000 60956800000 208714000 40703100000 3959770000 1.34E+15 4.08812E+11 1.53722E+14 4.19591E+11 0.052708617 0.097006609 0 0 0 0 0 0 0 0 0 0
0 2.02789E+12 3072980000 2338200000 49866400 8697910000 2763260000 1.33E+15 3.06703E+11 1.47867E+14 1.10405E+11 0.018046221 0.078781849 0 0 0 0 0 0 0 0 0 0
0 3.48394E+12 213793000 0 111927000 2365830000 6887770000 1.31E+15 1.20193E+12 1.59964E+14 41556200000 0.016250107 0.056930855 0 0 0 0 0 0 0 0 0 0
0 2.09062E+12 1955810000 883674000 328961000 18687100 9147540000 1.31E+15 1.84228E+11 1.50085E+14 800839000 0.03596169 0.023334403 0 0 0 0 0 0 0 0 0 0
0 1.77074E+12 6935560000 6349710000 122467000 15560000000 5294300000 1.30E+15 1.41845E+11 1.09396E+14 1.47305E+11 0.023131859 0.105631173 0 0 0 0 0 0 0 0 0 0
0 2.47199E+12 116473000 0 30856400 14496900000 1743420000 1.29E+15 6.3509E+11 1.44804E+14 1.60971E+11 0.017698776 0.090059079 0 0 0 0 0 0 0 0 0 0
0 1.60969E+12 736279000 582302000 68136300 0 3048060000 1.28E+15 1.04878E+11 1.05178E+14 0 0.022353989 0 0 0 0 0 0 0 0 0 0 0
